Date,Brooks 100SCCM [mLn/min],Brooks 2.5SLM [mLn/min],Bronkhorst 100SCCM [mLn/min], Bronkhorst 2.5SLM[mLn/min]
2024-12-13 12:41:45,12.78,2226.77,15.001110076904297,2249.9396800994873
2024-12-13 12:41:50,12.68,2217.00,15.006631851196289,2249.9022483825684
2024-12-13 12:41:55,12.68,2214.56,15.007303237915039,2249.8066425323486
2024-12-13 12:42:01,12.68,2219.44,15.00674057006836,2249.8602867126465
2024-12-13 12:42:06,12.68,2217.00,15.003486633300781,2249.9330043792725
2024-12-13 12:42:11,12.78,2217.00,15.004863739013672,2249.884605407715
2024-12-13 12:42:16,12.68,2209.67,15.008357048034668,2249.830722808838
2024-12-13 12:42:21,12.68,2217.00,14.998855590820312,2249.8795986175537
2024-12-13 12:42:26,12.68,2217.00,15.009610176086426,2249.880075454712
2024-12-13 12:42:31,12.68,2217.00,15.0038423538208,2249.9759197235107
2024-12-13 12:42:36,12.68,2217.00,14.999114036560059,2250.0200271606445
2024-12-13 12:42:41,12.68,2217.00,14.995513916015625,2249.9608993530273
2024-12-13 12:42:46,12.68,2219.44,15.000025749206543,2250.120162963867
2024-12-13 12:42:51,12.78,2217.00,14.990995407104492,2250.0922679901123
2024-12-13 12:42:56,12.68,2217.00,14.996770858764648,2250.1468658447266
2024-12-13 12:43:01,12.78,2226.77,14.996282577514648,2250.145673751831
2024-12-13 12:43:06,12.68,2214.56,14.995413780212402,2250.10085105896
2024-12-13 12:43:11,12.68,2219.44,14.998296737670898,2250.1401901245117
2024-12-13 12:43:16,12.78,2217.00,14.992401123046875,2250.1473426818848
2024-12-13 12:43:21,12.78,2217.00,14.987536430358887,2250.1068115234375
2024-12-13 12:43:26,12.68,2217.00,14.992631912231445,2250.0877380371094
2024-12-13 12:43:31,12.78,2214.56,14.99442195892334,2250.1673698425293
2024-12-13 12:43:36,12.68,2217.00,14.999950408935547,2250.0522136688232
2024-12-13 12:43:41,12.68,2217.00,14.997116088867188,2250.074863433838
2024-12-13 12:43:46,12.78,2217.00,14.994952201843262,2250.136137008667
2024-12-13 12:43:51,12.68,2217.00,15.00036334991455,2250.037670135498
2024-12-13 12:43:56,12.68,2217.00,14.999592781066895,2250.0128746032715
2024-12-13 12:44:01,12.88,2231.65,14.996240615844727,2249.9701976776123
2024-12-13 12:44:07,12.78,2226.77,15.000091552734375,2249.9256134033203
2024-12-13 12:44:12,12.78,2217.00,15.002612113952637,2249.871253967285
2024-12-13 12:44:17,12.68,2217.00,15.00585651397705,2249.933958053589
2024-12-13 12:44:22,12.68,2217.00,15.009050369262695,2249.7775554656982
2024-12-13 12:44:27,12.68,2217.00,15.007291793823242,2249.9005794525146
2024-12-13 12:44:32,12.68,2217.00,15.001035690307617,2249.948501586914
2024-12-13 12:44:37,12.68,2217.00,15.016172409057617,2249.8157024383545
2024-12-13 12:44:42,12.78,2226.77,15.003373146057129,2249.906539916992
2024-12-13 12:44:47,12.68,2219.44,15.004758834838867,2249.772310256958
2024-12-13 12:44:52,12.68,2217.00,15.004196166992188,2249.9032020568848
2024-12-13 12:44:57,12.68,2214.56,15.00907039642334,2249.8679161071777
2024-12-13 12:45:02,12.68,2217.00,14.99682903289795,2249.96280670166
2024-12-13 12:45:07,12.68,2217.00,14.997302055358887,2250.0720024108887
2024-12-13 12:45:12,12.88,2221.88,14.992416381835938,2250.0741481781006
2024-12-13 12:45:17,12.78,2217.00,14.994280815124512,2250.079870223999
2024-12-13 12:45:22,12.68,2217.00,14.991518020629883,2250.0195503234863
2024-12-13 12:45:27,12.58,2217.00,14.990178108215332,2250.0927448272705
2024-12-13 12:45:32,12.68,2217.00,14.993356704711914,2250.0834465026855
2024-12-13 12:45:37,12.68,2219.44,14.995920181274414,2250.016927719116
2024-12-13 12:45:42,12.68,2217.00,14.992399215698242,2250.1258850097656
2024-12-13 12:45:47,12.78,2234.09,14.997483253479004,2250.163793563843
2024-12-13 12:45:52,12.78,2226.77,14.996567726135254,2250.1468658447266
2024-12-13 12:45:57,12.88,2234.09,14.996970176696777,2250.070333480835
2024-12-13 12:46:02,12.78,2231.65,14.994473457336426,2250.136137008667
2024-12-13 12:46:07,12.68,2217.00,14.988555908203125,2250.093936920166
2024-12-13 12:46:12,12.68,2217.00,14.9935884475708,2250.077247619629
2024-12-13 12:46:18,12.68,2217.00,14.996888160705566,2249.9563694000244
